Id,Timestamp,Device_id,Latitude,Longitude,Altitude,Anomaly,dt,delta_lat,delta_lon,delta_alt,distance_m,speed_m_s,bearing,acceleration,cumulative_distance
15168,2013-08-24 03:32:36+00:00,2,49.9393983,2.2730433,86,1,911.0,1.8099999998355543e-05,-2.140000000006026e-05,7.0,2.529055763238778,0.0027761314634893283,-37.268899380170915,-8.33253393077294e-06,6963160.580750715
15169,2013-08-24 03:48:05+00:00,2,49.9393537,2.2731615,86,1,929.0,-4.460000000250375e-05,0.00011820000000017927,0.0,9.805539576236049,0.010554940340404788,120.38206887552867,8.37331418397789e-06,6963170.386290291
15170,2013-08-24 04:03:21+00:00,2,49.9393526,2.2731695,88,1,916.0,-1.0999999986438525e-06,7.999999999785956e-06,2.0,0.5854387514896909,0.0006391252745520643,102.05952182465994,-1.0825125617743149e-05,6963170.971729043
15171,2013-08-24 04:18:17+00:00,2,49.9393517,2.2731604,86,1,896.0,-8.99999996306633e-07,-9.099999999762076e-06,-2.0,0.6588844690511475,0.0007353621306374414,-98.73624477574359,1.0740720545242986e-07,6963171.630613511
15172,2013-08-24 04:33:15+00:00,2,49.9550614,2.2608548,104,1,898.0,0.015709699999995053,-0.012305599999999917,18.0,1956.2042126315173,2.1784011276520236,-26.745956698216844,0.002425017556259895,6965127.834826143
15173,2013-08-24 04:48:20+00:00,2,50.0085625,2.2797829,109,1,905.0,0.0535010999999983,0.01892809999999967,5.0,6101.055384132749,6.741497662025137,12.809247644782673,0.005042095618091837,6971228.8902102765
15174,2013-08-24 05:03:21+00:00,2,50.0085035,2.2796702,123,1,901.0,-5.899999999314787e-05,-0.00011269999999985458,14.0,10.387656185852782,0.01152903017297756,-129.16578333207525,-0.007469443542566214,6971239.277866462
15175,2013-08-24 05:18:18+00:00,2,50.0059214,2.2782813,116,1,897.0,-0.0025821000000050276,-0.0013888999999998042,-7.0,303.78884286755505,0.3386720656271517,-160.92916456909526,0.0003647079547984104,6971543.066709329
15176,2013-08-24 05:33:15+00:00,2,50.0077117,2.2782817,118,1,897.0,0.001790300000003242,3.9999999978945766e-07,2.0,199.07227922450917,0.22193119200056763,0.008227248852886298,-0.000130145901478912,6971742.1389885545
15177,2013-08-24 05:48:38+00:00,2,50.0105278,2.2820181,126,1,923.0,0.0028160999999968794,0.003736400000000195,8.0,411.5181315816773,0.4458484632520881,40.45241383007361,0.00024259726029417168,6972153.657120136
15178,2013-08-24 06:03:38+00:00,2,50.0107307,2.2818526,126,1,900.0,0.00020290000000500186,-0.00016550000000004061,0.0,25.47320148798893,0.02830355720887659,-27.662943862030353,-0.0004639387844924572,6972179.130321624
